,rest_name,star_rating,restaurant_reviews_count,restaurant_price,restaurant_cuisines,restaurant_area,restaurant_delivery_options
118,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
119,Subiksha Foods,4.5,36,$,"['Indian', 'Vegetarian']",Scarborough,['Delivery']
120,Bombay Palace,3.0,53,$$,['Indian'],Corktown,['Takeout']
121,The Great Maratha,4.0,53,,['Indian'],,[]
122,Pomegranate Restaurant,4.0,189,,"['Middle Eastern', 'Persian/Iranian']",,"['Delivery', 'Takeout']"
123,Indian Roti House,3.5,38,$$,['Indian'],Church-Wellesley Village,[]
124,Sizzler Kabab,3.5,47,$,"['Indian', 'Halal', 'Pakistani']",Chinatown,[]
125,Angithi Biryani and Wraps,1.5,3,,"['Indian', 'Halal', 'Pakistani']",City Place,"['Outdoor dining', 'Delivery', 'Takeout']"
126,Savera Indian Cuisine,4.0,54,$$,['Indian'],Wychwood,[]
127,Karahi Point,4.0,37,,"['Indian', 'Pakistani']",,"['Delivery', 'Takeout']"
128,Kabul Express,3.5,81,$,['Halal'],Ryerson,['Delivery']
129,Panera Bread,3.0,59,,"['Salad', 'Sandwiches', 'Soup']",,"['Delivery', 'Takeout']"
130,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
131,Indian Roti Meal,0.0,0,,"['Indian', 'Fast Food', 'Halal']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
132,Curry Twist Restaurant,4.0,103,$$,['Indian'],The Junction,"['Delivery', 'Takeout']"
133,DaiKo Indian Kitchen & Nepali Street Food,4.0,49,$$,"['Indian', 'Himalayan/Nepalese']",Parkdale,['Delivery']
134,Brar Sweets & Restaurant,3.5,38,$,['Indian'],Etobicoke,[]
135,Vindaloo Indian Cuisine,4.0,48,$$,['Indian'],Scarborough,"['Delivery', 'Takeout']"
136,Not Just Butter Chicken,4.5,7,,['Indian'],The Danforth,"['Outdoor dining', 'Delivery', 'Takeout']"
137,House of Indian Roti,3.0,2,,['Indian'],,"['Delivery', 'Takeout']"
138,Swades Indian Cuisine,2.5,34,$$,['Indian'],Harbourfront,[]
139,Colaba Junction,3.5,3,,['Indian'],Little Italy,"['Delivery', 'Takeout']"
140,Punjaabi Grand,4.0,27,$$,"['Buffets', 'Indian', 'Desserts']",Pine Grove,['Takeout']
141,My Roti Place,5.0,3,,['Indian'],,[]
142,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
143,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
144,Indian Roti Meal,0.0,0,,"['Halal', 'Fast Food', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
145,Indian Biriyani House,2.5,65,$,"['Indian', 'Halal', 'Bangladeshi']",Downtown Core,['Delivery']
146,North of Bombay,3.0,40,$$,"['Indian', 'Vegetarian', 'Vegan']",The Junction,"['Delivery', 'Takeout']"
147,Regency Restaurant,4.0,76,$$,['Indian'],Leslieville,"['Delivery', 'Takeout']"
148,Annapurna Vegetarian Restaurant,3.5,33,$,"['Vegetarian', 'Indian']",The Annex,"['Delivery', 'Takeout']"
149,Naans & More,5.0,1,,['Indian'],,[]
150,My Roti Place,4.0,11,,"['Indian', 'Fast Food']",Leslieville,"['Delivery', 'Takeout']"
151,My Dosa Place,3.5,15,,['Indian'],Harbourfront,"['Delivery', 'Takeout']"
152,Cafe Tibet Bar & Grill,4.5,16,,['Himalayan/Nepalese'],High Park,"['Outdoor dining', 'Delivery', 'Takeout']"
153,Matagali Restaurant,3.5,49,$$,"['Indian', 'Thai']",Downtown Core,"['Delivery', 'Takeout']"
154,Durbar Indian Cuisine,4.0,14,,['Indian'],Swansea,"['Outdoor dining', 'Delivery', 'Takeout']"
155,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
156,Indian Roti Meal,0.0,0,,"['Indian', 'Halal', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
157,Adda Bistro,4.0,8,,"['Bars', 'Indian']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
158,Leela Indian Food Bar,4.0,4,,['Indian'],,"['Outdoor dining', 'Delivery', 'Takeout']"
159,Mt Everest Restaurant,3.5,83,,"['Himalayan/Nepalese', 'Indian']",,"['Delivery', 'Takeout']"
160,Glory Of India Roti Cuisine,4.0,47,$$,['Indian'],Parkdale,[]
161,Karma’s Kitchen,4.0,59,$$,['Himalayan/Nepalese'],Leslieville,[]
162,Kashmir Curry and Biryani Restaurant,3.5,9,$$$$,['Indian'],Etobicoke,[]
163,T|Bar,3.5,13,$$$,['Indian'],Downtown Core,"['Outdoor dining', 'Takeout']"
164,Spice 505,4.5,7,,['Indian'],Greektown,"['Outdoor dining', 'Delivery', 'Takeout']"
